Parsed 268 entries.

Verdict counts: {'EFFECTIVE': 167, 'BEHAVIOR_FAIL': 52, 'EXCEPTION': 23, 'REASONABLE': 26}
  BEHAVIOR_FAIL      n= 52 region_size: min=1 max=8 mean=3.62 median=3.0
  EFFECTIVE          n=167 region_size: min=1 max=10 mean=4.79 median=4
  EXCEPTION          n= 23 region_size: min=2 max=12 mean=4.04 median=3
  REASONABLE         n= 26 region_size: min=1 max=9 mean=4.19 median=4.0

--- All entries sorted by region_size DESC ---
  #  verdict              rsz       SER     beh  host -> donor
 36  EFFECTIVE              1    0.7500   0.883  algo_b91c00d1 -> linear_solve_wrap
  1  EFFECTIVE              1    0.6875   0.641  algo_eda82176 -> sa
  3  EFFECTIVE              1    0.8750   0.062  neumann -> gs
 42  REASONABLE             1    0.6250   0.180  svd_detect -> reactive_tabu
 43  REASONABLE             1    0.6250   0.664  reg_solve_wrap -> heavy_ball
 50  REASONABLE             1    0.6250   0.195  sor -> ec
 41  BEHAVIOR_FAIL          1    0.5625   0.000  dp_detect -> sa
 44  REASONABLE             1    0.6250   0.875  divide_conquer -> ec
 47  REASONABLE             1    0.6250   0.156  mmse_init_iter -> svd_detect
 48  REASONABLE             1    0.6250   0.664  multi_scale -> bb

################################################################################
# TOP-3 EFFECTIVE ENTRIES BY region_size
################################################################################

================================================================================
[#19]  EFFECTIVE  region_size=10  host=local_search  donor=diag_dominant
  child_SER=0.5000  beh=0.836  child_score=0.5079  host_score=0.5691
================================================================================
[#19] child=algo_2a449ca7  host=local_search  donor=diag_dominant
        verdict=EFFECTIVE  child_score=0.507880  host_score=0.569080  child_SER=0.500000  behavior_change=0.836  region_size=10
        visibility: host=tot233/vis113/hid120(52%)  donor=tot233/vis108/hid125(54%)  graft=tot234/vis111/hid123(53%)
================================================================================
==============================================================================
  HOST -- replaced region marked in red  (local_search_detector, ops=233, blocks=25)
==============================================================================
  legend: * = REGION (to be replaced)
  args:    H:mat_cx, y:vec_cx, sigma2:float, constellati_:vec_cx
  returns: v202

  block b_entry_0  preds=[]  succs=['b_while_test_1']
    op_0       |           v0 = H.shape                                -> op_2
    op_1       |           v1 = const 1                                -> op_2
    op_2       |           v2 = v0[v1]                                 -> op_3
    op_3       |           v3 = Nt := v2                               -> op_7, op_16, +1 more
    op_4       |           v4 = const np = <module>
    op_5       |           v5 = const np.zeros = <builtin_function_or_method> -> op_7, op_147
    op_6       |           v6 = const complex = <type>                 -> op_7, op_147
    op_7       |           v7 = np.zeros(v3, dtype=v6)                 -> op_8
